country_name,official_language
Maldives,Dhivehi
Mongolia,Mongolian
Myanmar,Burmese
Nepal,Nepali
Oman,Arabic
Pakistan,Urdu
Pakistan,English
Philippines,Filipino
Philippines,English
Qatar,Arabic
Russia,Russian
Saudi Arabia,Arabic
Singapore,English
Singapore,Malay
Singapore,Mandarin
Singapore,Tamil
Sri Lanka,Sinhala
Syria,Arabic
Tajikistan,Tajik
Thailand,Thai
East Timor,Portuguese
East Timor,Tetum
Turkey,Turkish
Turkmenistan,Turkmen
United Arab Emirates,Arabic
Uzbekistan,Uzbek
Uzbekistan,Russian
Vietnam,Vietnamese
Yemen,Arabic
Argentina,Spanish
Bolivia,Spanish
Bolivia,Quechua
Bolivia,Aymara
Bolivia,Guarani
Bolivia,and 33 others (all Indigenous languages)
Brazil,Portuguese
Chile,Spanish
Colombia,Spanish
Ecuador,Spanish
Guyana,English
Paraguay,Spanish
Paraguay,Guarani
Peru,Spanish
Peru,Quechua
Peru,Aymara
Peru,Other Indigenous languages
Suriname,Dutch
Uruguay,Spanish
Venezuela,Spanish
Albania,Albanian
Andorra,Catalan
Austria,German
Belarus,Belarusian
Belarus,Russian
Belgium,Dutch
Belgium,French
Belgium,German
Bosnia and Herzegovina,None
Bulgaria,Bulgarian
Croatia,Croatian
Czech Republic,Czech
Denmark,Danish
Estonia,Estonian
Finland,Finnish
Finland,Swedish
France,French
Germany,German
Greece,Greek
Hungary,Hungarian
Iceland,Icelandic
Republic of Ireland,Irish
Italy,Italian
Latvia,Latvian
Liechtenstein,German
Lithuania,Lithuanian
Luxembourg,Luxembourgish
Malta,Maltese
Moldova,Romanian
Monaco,French
Montenegro,Montenegrin
Netherlands,Dutch
North Macedonia,Macedonian
North Macedonia,Albanian
Norway,Norwegian
Norway,Sámi
Poland,Polish
Portugal,Portuguese
Romania,Romanian
San Marino,Italian
Serbia,Serbian
Slovakia,Slovak
Slovenia,Slovene
Spain,Spanish
Sweden,Swedish
Switzerland,German
Switzerland,French
Switzerland,Italian
Ukraine,Ukrainian
United Kingdom,English
Australia,federal level
Federated States of Micronesia,English
Fiji,Fijian
Fiji,English
Fiji,Fiji Hindi
Kiribati,Gilbertese
Marshall Islands,Marshallese
Marshall Islands,English
Nauru,Nauruan
New Zealand,English
New Zealand,Māori
New Zealand,NZ Sign Language
Palau,Palauan
Palau,English
Palau,Japanese
Palau,Sonsorolese
Palau,Tobian
Papua New Guinea,English
Papua New Guinea,Hiri Motu
Papua New Guinea,PNG Sign Language
Papua New Guinea,Tok Pisin
Samoa,Samoan
Samoa,English
Solomon Islands,English
Tonga,Tongan
Tuvalu,Tuvaluan
Tuvalu,English
Vanuatu,Bislama
